datetime,avgMintTXGas_1d,sumMintGas_1d,mintTXCounts_1d,sumMinted_sETH2_1d,avgSellTXGas_1d,sumSellGas_1d,sellTXCounts_1d,sumSold_sETH2_1d,avgGasPricePaidOnSell_1d,mintsAvoidable_Full_Volume,mintsPotentiallyCrossableCoverage_Percentage,costOfImplementingMaxTheoriticalCross,gasSavingOnMaxTheoriticalCross,gasSavingOnMaxTheoriticalCross_PnL_in_ETH_100GWEI_GasPx,gasSavingOnMaxTheoriticalCross_PnL_in_ETH_AvgSellGasPx
2021-07-28,94189.73333333334,1412846,15,4.215146947927434,190307.44444444444,1712767.0,9.0,455.0680481216719,33733333333.333332,True,1.0,1044000.0,668767.0,0.022559740133333332,0.022559740133333332
2021-07-29,120416.0,361248,3,0.26,185472.0,1854720.0,10.0,266.871277230141,28800000145.9,True,1.0,1160000.0,694720.0,0.02000793610135965,0.02000793610135965
2021-07-30,105975.28571428571,1483654,14,4.026607892896642,167806.625,1342453.0,8.0,89.0962409857591,32500000182.375,True,1.0,928000.0,414453.0,0.013469722575585867,0.013469722575585867
2021-07-31,101057.66666666667,1515865,15,2.7457045629531445,160547.2857142857,1123831.0,7.0,14.686856551411596,35007143065.57143,True,1.0,812000.0,311831.0,0.010916312429280204,0.010916312429280204
2021-08-01,100988.625,1615818,16,2.611813077281387,154911.14285714287,1084378.0,7.0,41.421899380894814,31142857351.285713,True,1.0,812000.0,272378.0,0.0084826291996285,0.0084826291996285
2021-08-02,95916.79166666667,2302003,24,3.462811676830799,200474.14285714287,1403319.0,7.0,25.387020087910336,52014285717.57143,True,1.0,812000.0,591319.0,0.03075703541622862,0.03075703541622862
2021-08-03,106891.11111111111,1924040,18,3.78346082,159496.0,956976.0,6.0,2003.3367097983812,35333333333.333336,True,1.0,696000.0,260976.0,0.009221152000000002,0.009221152000000002
2021-08-04,103029.12,2575728,25,3.1951895412036735,192710.0,1541680.0,8.0,14.197947435470212,39975000000.0,True,1.0,928000.0,613680.0,0.024531858,0.024531858
2021-08-05,103147.22222222222,1856650,18,7.313389308010103,207886.4,2078864.0,10.0,3.431192399101289,49435497288.1,False,0.4691658346894268,544232.3682397351,431099.59552606544,0.021311622885529815,0.021311622885529815
2021-08-06,101827.54166666667,2443861,24,8.402334140793046,180253.6923076923,2343298.0,13.0,83.4970385027155,45783021570.46154,True,1.0,1508000.0,835298.0,0.038242466351763385,0.038242466351763385
2021-08-07,102920.08695652174,2367162,23,8.225523047719232,208581.875,1668655.0,8.0,13.438093089158352,46456290670.125,True,1.0,928000.0,740655.0,0.034408083966281436,0.034408083966281436
2021-08-08,105773.53571428571,2961659,28,13.81443542613761,220294.45454545456,2423239.0,11.0,87.73608026723267,38177022023.0,True,1.0,1276000.0,1147239.0,0.0437981685686445,0.0437981685686445
